Ver. 4 7 real time data, Monday, August 28, 2017 1:58:57 AM
TEMPO	GIRI	LAMBDA	GAS	BENZ	PRESS	MAP	T.RID	T.GAS	LIV	SLOW	FAST	OX	MARKER	AUTOMARKER	ECUMARKER
9805	810	1.900000	5.000000	2.770000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
9915	809	1.910000	5.000000	2.770000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
10025	812	1.880000	5.000000	2.770000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
10145	815	1.900000	4.970000	2.770000	0.950000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
10255	815	1.900000	4.950000	2.740000	0.950000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.855000	0	0	0	
10365	823	1.840000	4.950000	2.740000	0.960000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
10475	827	1.840000	4.950000	2.730000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
10586	837	1.800000	4.960000	2.730000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
10696	839	1.880000	4.910000	2.720000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
10816	839	1.950000	4.940000	2.730000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
10926	840	1.930000	4.870000	2.700000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
11036	837	1.910000	4.870000	2.700000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
11146	837	1.950000	4.780000	2.650000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
11307	838	1.970000	4.840000	2.680000	0.940000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
11417	838	1.950000	4.870000	2.700000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.860000	0	0	0	
11537	838	1.970000	4.900000	2.720000	0.940000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
11657	832	1.950000	4.890000	2.720000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
11777	828	1.970000	4.870000	2.700000	0.920000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
11888	827	1.970000	4.870000	2.700000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
12008	826	1.970000	4.950000	2.740000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
12138	826	2.000000	4.910000	2.720000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
12268	828	2.000000	4.900000	2.720000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
12398	831	2.000000	4.890000	2.720000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
12518	833	1.950000	4.960000	2.730000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.850000	0	0	0	
12649	835	1.950000	4.850000	2.690000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
12779	835	1.970000	4.850000	2.690000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
12909	832	1.950000	4.870000	2.700000	0.930000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
13039	834	1.950000	4.870000	2.700000	0.950000	0.290000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
13159	838	1.970000	4.870000	2.700000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
13290	838	2.000000	4.860000	2.680000	0.940000	0.300000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
13420	844	2.040000	4.850000	2.690000	0.930000	0.310000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
13550	855	2.020000	6.780000	3.620000	0.940000	0.380000	83.000000	70.000000	250	0.000000	0.000000	0.845000	0	0	0	
