 mAir, RPM, O2Sf, Target
166,840,2668,2694.68
166,840,2668,2694.68
164,840,2712,2739.12
164,839,2712,2739.12
165,839,2600,2626
165,840,2600,2626
165,840,2693,2719.93
164,842,2693,2719.93
164,842,2683,2709.83
166,846,2683,2709.83
166,846,2683,2709.83
167,842,2658,2684.58
167,842,2658,2684.58
165,842,2702,2729.02
165,842,2702,2729.02
165,842,2658,2684.58
165,843,2658,2684.58
165,843,2609,2635.09
164,838,2609,2635.09
164,838,2609,2635.09
165,839,2790,2817.9
165,839,2790,2817.9
164,839,2697,2723.97
164,839,2697,2723.97
166,842,2790,2817.9
166,841,2790,2817.9
167,841,2678,2704.78
167,837,2678,2704.78
167,837,2820,2848.2
168,834,2820,2848.2
168,834,2820,2848.2
166,834,2717,2744.17
166,835,2717,2744.17
169,839,2693,2719.93
169,839,2693,2719.93
169,839,2546,2571.46
169,836,2546,2571.46
169,836,2644,2670.44
169,831,2644,2670.44
169,833,2790,2817.9
166,833,2790,2817.9
166,833,2649,2675.49
168,829,2649,2675.49
168,829,2649,2675.49
167,831,2634,2660.34
167,831,2634,2660.34
166,830,2653,2679.53
166,830,2653,2679.53
168,830,2678,2704.78
168,835,2678,2704.78
168,835,2673,2699.73
167,834,2673,2699.73
167,834,2673,2699.73
165,837,2820,2848.2
165,837,2820,2848.2
166,837,2693,2719.93
166,838,2693,2719.93
167,839,2673,2699.73
167,839,2673,2699.73
166,839,2644,2670.44
166,841,2644,2670.44
164,841,2678,2704.78
164,841,2678,2704.78
164,841,2766,2793.66
164,844,2766,2793.66
164,844,2771,2798.71
166,846,2771,2798.71
166,846,2771,2798.71
168,832,2771,2798.71
168,832,2771,2798.71
168,832,2683,2709.83
168,834,2683,2709.83
165,834,2707,2734.07
165,831,2707,2734.07
165,831,2722,2749.22
164,836,2722,2749.22
164,836,2722,2749.22
167,836,2766,2793.66
167,834,2766,2793.66
165,835,2790,2817.9
165,835,2790,2817.9
165,835,2609,2635.09
165,837,2609,2635.09
164,837,2825,2853.25
164,839,2825,2853.25
164,839,2600,2626
163,838,2600,2626
163,838,2649,2675.49
163,841,2649,2675.49
163,841,2649,2675.49
164,842,2717,2744.17
164,842,2717,2744.17
165,839,2688,2714.88
165,839,2688,2714.88
163,839,2536,2561.36
163,837,2536,2561.36
163,837,2565,2590.65
164,840,2565,2590.65
164,840,2717,2744.17
164,843,2717,2744.17
164,843,2619,2645.19
164,845,2619,2645.19
164,845,2619,2645.19
166,845,2614,2640.14
166,838,2614,2640.14
164,838,2663,2689.63
164,838,2663,2689.63
165,838,2663,2689.63
165,838,2663,2689.63
165,839,2722,2749.22
165,839,2722,2749.22
165,839,2644,2670.44
164,829,2644,2670.44
164,829,2644,2670.44
167,830,2712,2739.12
167,830,2712,2739.12
166,830,2776,2803.76
166,829,2776,2803.76
164,829,2717,2744.17
164,829,2717,2744.17
164,831,2732,2759.32
163,833,2732,2759.32
163,833,2795,2822.95
165,837,2795,2822.95
165,837,2795,2822.95
165,833,2761,2788.61
165,833,2761,2788.61
164,833,2673,2699.73
164,839,2673,2699.73
165,839,2805,2833.05
165,838,2805,2833.05
165,838,2741,2768.41
164,837,2741,2768.41
164,837,2741,2768.41
164,837,2624,2650.24
164,835,2624,2650.24
163,835,2732,2759.32
163,835,2732,2759.32
163,835,2776,2803.76
163,830,2776,2803.76
163,830,2722,2749.22
166,831,2722,2749.22
166,831,2722,2749.22
167,832,2800,2828
167,832,2800,2828
165,832,2800,2828
165,838,2800,2828
162,838,2800,2828
162,836,2800,2828
162,836,2707,2734.07
162,837,2707,2734.07
162,837,2707,2734.07
164,837,2702,2729.02
164,836,2702,2729.02
165,840,2697,2723.97
165,840,2697,2723.97
164,840,2634,2660.34
164,841,2634,2660.34
164,841,2717,2744.17
162,841,2717,2744.17
162,839,2717,2744.17
165,838,2575,2600.75
165,838,2575,2600.75
164,838,2854,2882.54
164,840,2854,2882.54
163,840,2653,2679.53
163,837,2653,2679.53
163,837,2844,2872.44
164,833,2844,2872.44
164,833,2717,2744.17
164,834,2717,2744.17
164,834,2717,2744.17
165,836,2605,2631.05
165,836,2605,2631.05
166,836,2732,2759.32
166,835,2732,2759.32
165,835,2644,2670.44
165,833,2644,2670.44
165,833,2546,2571.46
164,830,2546,2571.46
164,830,2546,2571.46
165,830,2663,2689.63
165,832,2663,2689.63
164,832,2673,2699.73
164,830,2673,2699.73
164,830,2707,2734.07
164,834,2707,2734.07
164,834,2653,2679.53
164,836,2653,2679.53
164,836,2776,2803.76
164,835,2776,2803.76
164,835,2776,2803.76
164,833,2800,2828
164,833,2800,2828
164,833,2683,2709.83
164,833,2683,2709.83
166,835,2751,2778.51
166,835,2751,2778.51
166,832,2712,2739.12
164,837,2712,2739.12
164,837,2712,2739.12
163,837,2785,2812.85
163,835,2785,2812.85
164,831,2785,2812.85
164,831,2785,2812.85
165,831,2766,2793.66
165,828,2766,2793.66
